"","x"
"859","226,-276,"
"860","226,-356,"
"861","226,471,"
"862","31,287,"
"863","31,-323,"
"864","-33,287,"
"865","-33,-323,"
"866","-408,163,"
"867","-408,287,"
"868","-408,-31,"
"869","-408,-323,"
"870","-408,-434,"
"871","-408,-883,"
"872","434,163,"
"873","434,-31,"
"874","434,-434,"
"875","434,-883,"
"876","883,163,"
"877","883,287,"
"878","883,-31,"
"879","883,-323,"
"880","883,-434,"
"881","883,-883,"
"882","-135,-129,"
"883","-135,20,"
"884","-135,54,"
"885","-135,-62,"
"886","254,-129,"
"887","254,20,"
"888","254,54,"
"889","254,-62,"
"890","-54,135,"
"891","-54,-254,"
"892","62,135,"
"893","62,-254,"
"894","233,"
"895","-561,561,"
"896","-561,-587,"
"897","587,561,"
"898","587,-587,"
"899","-2,-356,"
"900","-12,27,"
"901","-12,80,"
"902","276,-276,"
"903","-471,-276,"
"904","569,-10,"
"905","-143,-242,"
"906","-143,242,"
"907","143,-242,"
"908","143,242,"
"909","-242,-4,"
"910","-242,4,"
"911","242,-4,"
"912","242,4,"
"913","-235,-154,"
"914","559,-154,"
"915","156,-10,"
"916","156,8,"
"917","-2,-10,"
"918","-2,8,"
"919","-4,-197,"
"920","-4,197,"
"921","4,-197,"
"922","4,197,"
"923","-197,197,"
"924","197,197,"
"925","-197,-197,"
"926","197,-197,"
"927","11,12,"
"928","11,-165,"
"929","11,-38,"
"930","165,12,"
"931","-197,"
"932","197,"
"933","38,12,"
"934","-4,54,"
"935","4,54,"
"936","-4,-62,"
"937","4,-62,"
"938","62,-4,"
"939","62,4,"
"940","-80,12,"
"941","-765,-120,"
"942","-1231,158,"
"943","635,158,"
"944","-325,-129,"
"945","-325,158,"
"946","-325,-168,"
"947","-325,20,"
"948","-325,54,"
"949","-325,-62,"
"950","569,-129,"
"951","569,158,"
"952","569,-168,"
"953","569,20,"
"954","569,54,"
"955","569,-62,"
"956","85,-43,"
"957","10,419,"
"958","129,419,"
"959","-20,419,"
"960","-54,419,"
"961","62,419,"
"962","155,115,"
"963","155,-43,"
"964","155,-63,"
"965","318,-85,"
"966","-4,293,"
"967","4,293,"
"968","-41,-72,"
"969","72,-72,"
"970","284,316,"
"971","156,-129,"
"972","156,-156,"
"973","156,20,"
"974","156,54,"
"975","156,-62,"
"976","-228,-129,"
"977","-228,-156,"
"978","-228,20,"
"979","-228,228,"
"980","-54,-156,"
"981","-54,228,"
"982","62,-156,"
"983","62,228,"
"984","479,163,"
"985","479,-434,"
"986","222,329,"
"987","-213,329,"
"988","-213,-99,"
"989","222,213,"
"990","222,54,"
"991","222,-62,"
"992","222,-99,"
"993","-329,213,"
"994","-329,329,"
"995","-329,54,"
"996","-329,-62,"
"997","-329,-99,"
"998","62,329,"
"999","521,419,"
"1000","521,-521,"
"1001","521,-62,"
"1002","-54,-521,"
"1003","62,-521,"
"1004","129,-99,"
"1005","-20,-99,"
"1006","-157,-400,"
"1007","-4,-40,"
"1008","4,-40,"
"1009","-4,95,"
"1010","4,95,"
"1011","64,-400,"
"1012","68,-400,"
"1013","-70,-400,"
"1014","-330,-226,"
"1015","356,2,"
"1016","356,-226,"
"1017","-1014,1014,"
"1018","-1014,-1088,"
"1019","1088,1014,"
"1020","1088,-1088,"
"1021","204,213,"
"1022","284,-284,"
"1023","284,305,"
"1024","-305,-284,"
"1025","-305,305,"
"1026","-305,316,"
"1027","-316,305,"
"1028","641,-284,"
"1029","641,305,"
"1030","641,316,"
"1031","99,-99,"
